assists,damages,deaths,denies,duration,hero_id,isRadiant,is_win,kda,kills,last_hits,match_id,radiant_win
5,,8,1,2388,25,false,true,0,1,39,255393227,false
14,,13,9,2569,17,false,true,1,7,135,255352317,false
6,,0,5,998,21,true,true,10,4,36,240895981,true
13,,1,11,1732,17,false,true,12,11,108,246056217,false
1,,13,11,2112,11,true,false,0,4,155,247602354,false
14,,13,9,2569,17,false,true,1,7,135,255352317,false
5,,8,1,2388,25,false,true,0,1,39,255393227,false
16,,10,0,3536,14,false,true,2,13,101,302813580,false
3,,4,11,1325,11,true,true,2,7,81,277139757,true
11,,7,3,2132,54,false,false,1,3,123,318846583,true
6,,11,15,1725,11,false,false,0,5,87,318903950,true
11,,15,4,2481,81,true,false,1,5,62,320269976,false
5,,10,9,2369,11,false,false,1,8,191,319109193,true
24,,2,1,1799,86,true,true,10,8,29,320866859,true
18,,9,10,2222,23,false,true,2,7,126,326564606,false
1,,9,6,1230,11,false,false,0,2,51,326608027,true
8,,15,0,2619,2,true,false,0,7,96,402393193,false
17,,8,13,2897,63,false,true,3,12,293,402348499,false
12,,12,16,3049,54,false,false,1,7,207,403428829,true
7,,12,10,2453,39,false,true,0,4,127,404666109,false
20,,17,8,3393,98,true,false,1,12,175,404722663,false
10,,10,12,2756,23,true,false,2,14,250,409134073,false
15,,17,8,3480,17,false,true,1,11,174,409174870,false
17,,8,1,2701,7,true,true,3,12,90,410241728,true
19,,2,11,2174,9,true,true,10,13,128,411330626,true
18,,13,21,3030,47,true,true,2,17,165,411363568,true
9,,16,0,2668,14,true,true,1,12,40,414026201,true
12,,15,3,2363,23,true,false,1,7,92,410281821,false
12,,11,8,2668,21,true,true,2,12,145,415555274,true
8,,3,27,1258,11,true,true,5,15,128,415621803,true
26,,10,3,2678,102,false,true,3,9,91,416454834,false
21,,10,2,2436,16,false,true,2,4,70,416496375,false
5,,8,2,1714,69,false,false,1,4,131,416537857,true
23,,2,16,2175,63,true,true,13,18,237,417597255,true
9,,2,3,1341,7,true,true,6,10,44,417635011,true
9,,14,8,3468,13,false,true,1,6,178,416569809,false
13,,17,4,2286,7,true,false,1,6,35,418819351,false
26,,6,11,2281,51,false,true,6,17,119,417913434,false
4,,9,17,2498,74,false,false,0,5,164,418754222,true
9,,6,7,1673,46,true,true,2,5,84,417663675,true
7,,9,15,2209,46,true,false,1,5,119,418878876,false
7,,6,16,1506,72,true,false,1,1,83,425969355,false
2,,3,13,856,23,false,false,1,4,37,419944370,true
22,,14,6,2562,17,false,true,2,13,136,418940721,false
20,25361,9,4,2577,93,false,true,3,18,248,426001077,false
11,,4,7,1301,73,false,true,3,8,46,426055347,false
3,,11,10,1938,74,true,false,0,2,69,427407847,false
10,,4,7,1750,8,false,true,4,12,135,426082153,false
14,,9,24,2605,54,false,false,2,14,223,427439841,true
10,,3,15,1369,47,false,true,5,12,92,427486248,false
10,,10,18,2013,11,true,false,1,1,203,427517527,false
18,,12,16,3256,17,false,true,3,21,153,427559957,false
14,,9,16,2387,48,true,false,2,8,217,427624763,false
13,,6,13,2664,17,true,true,4,16,144,429081459,true
10,,16,11,3069,98,false,true,1,18,144,429131677,false
9,,16,13,2086,74,false,false,0,3,78,433218710,true
10,,3,6,2129,9,false,true,3,3,46,433270877,false
7,,10,2,2172,67,false,false,1,4,157,435203103,true
17,,2,3,1811,65,true,true,8,9,85,437966068,true
12,,13,23,3213,63,false,true,1,6,256,433327621,false
3,,12,1,1949,14,true,false,0,6,30,437994954,false
0,,6,2,2020,11,true,false,0,0,21,462522175,false
8,,3,7,1699,47,true,true,4,10,84,467142956,true
4,,6,4,1136,11,false,false,0,0,13,467179488,true
8,,3,21,1568,18,true,true,2,2,139,468531569,true
7,,9,6,2523,11,true,false,1,5,200,468573423,false
2,,7,1,1411,9,false,false,0,5,43,473478920,true
16,,8,14,2779,11,false,true,3,19,269,473514626,false
21,,5,15,2394,11,false,true,4,8,160,473702573,false
1,,8,1,2806,11,false,false,0,0,7,473686321,true
5,,8,5,1505,11,false,false,0,1,24,473774954,true
19,,2,5,1402,13,true,true,9,8,66,477678501,true
6,,3,11,2616,46,true,true,4,13,269,477699528,true
11,,10,5,2386,21,true,true,2,11,128,478999388,true
6,,7,16,1953,74,true,false,1,2,89,479031951,false
12,,7,19,2814,39,true,false,4,20,270,480519574,false
12,,7,12,1881,13,true,true,3,17,108,480579961,true
12,,6,31,2033,11,true,true,4,16,212,482008888,true
17,,5,5,2026,93,false,true,5,17,130,482059806,false
9,,6,12,1842,11,true,true,4,23,155,482119142,true
17,,5,20,2196,74,true,true,4,11,136,482233913,true
19,,4,5,1726,7,true,true,5,9,59,483510753,true
7,,4,10,1616,46,false,true,3,12,165,482178774,false
7,,11,3,1345,40,false,false,0,0,65,483568683,true
0,,0,18,398,74,true,true,1,1,25,822885470,true
31,,8,3,2908,14,false,true,5,19,84,824987654,false
3,,13,2,2207,44,false,false,0,6,64,824554141,true
7,,14,14,3150,34,true,true,1,11,227,825257757,true
9,,14,26,2023,74,false,false,1,8,103,825196072,true
6,,4,17,1829,93,true,true,7,32,146,832451317,true
11,,2,6,1737,67,true,false,5,6,75,832494437,false
6,,3,9,1188,39,false,true,6,21,101,840036738,false
2,,1,1,608,29,true,true,3,4,24,864175212,true
8,,7,1,1728,7,true,true,2,12,69,864193569,true
2,,2,0,455,45,false,true,0,0,6,1050436758,false
4,,7,1,1133,105,true,false,0,2,15,1050467978,false
7,,14,10,2339,13,true,false,1,10,106,1050508803,false
4,,6,7,1974,11,true,false,0,1,107,888286558,false
18,,12,4,3026,16,false,false,2,9,82,1052762912,true
5,,1,8,1978,54,true,true,5,5,183,1052713750,true
17,,11,18,3370,17,false,true,3,23,271,1052841449,false
5,,11,16,2458,36,true,false,0,5,195,1057829517,false
11,,15,2,2619,26,false,false,1,8,35,1057946328,true
7,,3,25,1733,11,false,true,4,11,217,1058077859,false
13,,4,9,2141,39,true,true,5,12,162,1064457717,true
7,,6,6,1391,17,true,true,1,5,102,1064541769,true
6,,9,23,3084,63,true,false,1,6,350,1070737722,false
2,,1,34,2082,46,true,true,7,13,325,1073200375,true
2,,19,15,2516,46,false,false,0,2,165,1073313895,true
19,,8,16,2748,17,false,true,3,16,227,1078001485,false
4,,5,22,1800,46,true,false,2,8,144,1077525326,false
8,,11,25,2883,74,true,true,2,17,164,1078108948,true
7,,4,13,2076,46,false,true,2,6,228,1083435496,false
9,,5,15,1794,46,false,true,3,11,178,1083496255,false
1,,3,25,1204,10,true,true,1,6,105,1083547862,true
18,,15,0,2937,14,false,false,1,7,35,1083583918,true
31,,8,2,2492,13,true,true,4,7,94,1092568104,true
24,,12,21,4475,74,false,false,3,22,275,1092661194,true
11,,2,10,1796,10,true,true,7,10,237,1096571779,true
8,,10,5,2418,74,false,false,1,6,96,1096623404,true
14,,11,7,3462,41,false,true,2,19,297,1110311453,false
12,,12,22,2635,11,true,false,1,13,269,1119560017,false
